f1,f2,f3,dur,f1_raw,f2_raw,f3_raw,dur_raw,speaker,label,prev,post
-0.746559434,0.143153946,0.430696667,0.260579088,-0.746559434,0.143153946,0.430696667,0.260579088,s01,ah,d,#
-0.529366526,1.022712615,0.488399859,-0.406572545,-0.529366526,1.022712615,0.488399859,-0.406572545,s01,iy,v,#
-0.487945266,1.129321569,0.700514858,1.223685206,-0.487945266,1.129321569,0.700514858,1.223685206,s01,iy,sh,#
0.697155418,-0.504573894,0.146844385,-0.645342604,0.697155418,-0.504573894,0.146844385,-0.645342604,s01,ah,p,p
0.346544475,-0.970060274,0.625137104,-0.80586029,0.346544475,-0.970060274,0.625137104,-0.80586029,s01,ah,th,th
-1.172252904,1.080482454,0.378873069,-0.393530483,-1.172252904,1.080482454,0.378873069,-0.393530483,s01,iy,hh,z
1.724346275,-1.034308205,0.320121466,0.598669465,1.724346275,-1.034308205,0.320121466,0.598669465,s01,ah,p,p
0.913737176,-1.12562262,0.028036481,-0.316281347,0.913737176,-1.12562262,0.028036481,-0.316281347,s01,ah,s,#
-0.413819397,1.523603284,1.402144663,-0.124663359,-0.413819397,1.523603284,1.402144663,-0.124663359,s01,iy,hh,#
-0.265945955,-0.603652682,0.11388041,0.010773439,-0.265945955,-0.603652682,0.11388041,0.010773439,s01,uw,z,#
0.564829344,1.430805348,0.808701573,-0.553044934,0.564829344,1.430805348,0.808701573,-0.553044934,s01,iy,hh,z
-0.774955056,1.020767231,0.654953259,-0.220973971,-0.774955056,1.020767231,0.654953259,-0.220973971,s01,iy,sh,#
-1.038975784,1.04998072,0.538967647,-0.662397608,-1.038975784,1.04998072,0.538967647,-0.662397608,s01,iy,hh,#
-0.105635784,-0.856190999,-1.239060724,-0.622268186,-0.105635784,-0.856190999,-1.239060724,-0.622268186,s01,ah,v,v
0.31942718,-0.545257951,0.062495458,-0.090553351,0.31942718,-0.545257951,0.062495458,-0.090553351,s01,ah,f,f
-1.216309047,1.060166014,0.174454974,-0.542009343,-1.216309047,1.060166014,0.174454974,-0.542009343,s01,iy,b,#
-1.230207115,0.690828918,-0.039633179,-0.555051405,-1.230207115,0.690828918,-0.039633179,-0.555051405,s01,iy,ch,ch
