speaker,label,prev,post,dur,f1_50,f2_50,f3_50,f1_25,f2_25,f3_25,f1_75,f2_75,f3_75
s15,iy,d,#,0.0916875,321.9201716,2348.563856,2641.544936,321.0692931,2306.909491,2851.455293,333.9375838,2351.386641,2666.2833
s14,iy,t,#,0.0779375,329.853042,2414.665724,2831.453981,,,,,,
s15,ah,f,f,0.0910625,553.7983845,1166.490319,2732.237009,540.0339127,1176.265019,2570.878049,541.4135772,1135.166495,2529.682589
s03,iy,sh,#,0.0634375,304.7137027,2021.43393,2837.920556,,,,,,
s08,uw,ch,#,0.04625,368.037981,2048.254373,2646.9388,,,,,,
s03,uw,d,#,0.12675,296.1617509,1666.719098,2668.111531,317.2033373,1764.958385,2548.646864,280.5836467,1462.624946,2600.701941
s14,ih,hh,z,0.07475,372.798626,2240.748075,2980.708968,350.2002918,2328.642625,3065.974009,375.1160178,2199.212623,2952.369592
s03,ao,ch,b,0.047,592.887422,1123.583368,2436.872914,,,,,,
s04,uh,g,d,0.087,555.8534545,1889.858582,2741.266897,520.5993207,1926.095499,2701.036372,542.7160022,1818.650278,2788.558351
s08,ey,s,#,0.092375,565.7991747,2117.863295,2890.456057,634.6198248,2070.219741,2843.568247,567.6967231,2084.026813,2842.186657
s03,ey,t,#,0.1154375,479.1668267,1786.589323,2659.047872,506.0266233,1686.993447,2650.968469,416.1020878,1969.346103,2728.995037
s08,er,f,#,0.12,636.6641606,1356.021353,1753.961726,631.9866323,1291.01898,1801.394707,675.5360022,1459.310275,1843.159527
s14,ih,s,s,0.0308125,351.0354241,1904.931293,2826.052269,,,,,,
s14,ih,f,#,0.03225,392.4785027,1547.736657,2492.660617,,,,,,
s14,ah,b,t,0.0525625,515.6759002,1653.472347,2726.880892,,,,,,
s15,ae,v,s,0.16,745.1110537,1520.431635,2157.36978,690.901726,1543.43211,2269.200497,730.7326073,1553.103827,2209.45542
s15,ae,d,d,0.23525,703.7778737,1590.892103,2300.149039,675.5611315,1706.799627,2451.234319,722.3127428,1499.832291,2319.592164
s08,ae,hh,v,0.05,893.5097336,1923.955687,2886.165768,,,,,,
s04,uw,hh,#,0.06875,285.8893016,1354.210683,2787.195977,,,,,,
s03,ah,k,z,0.107,501.1812114,1318.506619,2136.087778,479.1105468,1269.37615,2155.709747,470.7264084,1366.444882,2291.672879
s14,el,t,#,0.0361875,624.5000359,1244.313519,2668.161634,,,,,,
s04,eh,t,t,0.054,566.9251152,1987.539328,2561.721313,,,,,,
s14,iy,b,#,0.0408125,339.4361199,2324.827231,2710.003104,,,,,,
s14,eh,hh,v,0.04,762.0828382,1836.911231,2769.26446,,,,,,
s15,aa,k,s,0.0855,689.9234268,1233.247311,2174.483842,697.486137,1208.540144,2136.366036,667.9920498,1269.117791,2149.379818
s15,eh,hh,d,0.0535625,598.4574684,1509.76763,2208.356003,,,,,,
s15,ih,z,z,0.046,339.4564387,1672.856754,2653.189968,,,,,,
s15,ih,s,s,0.0560625,377.7074123,1731.39971,2441.130911,,,,,,
s03,ih,f,f,0.103,342.2157369,2029.181102,2875.139314,317.6828581,1978.39824,2813.010005,368.6731988,1994.797915,2882.438884
s08,ow,s,#,0.054375,493.4927172,1447.561537,2896.144468,,,,,,
s14,eh,p,t,0.067125,666.597842,1815.520176,2863.834253,,,,,,
s01,aw,hh,#,0.1013125,802.2289107,1615.174696,2830.12148,838.6370775,1783.04864,2943.074684,540.1989295,1357.736351,2898.58769
s08,ah,b,t,0.0523125,517.4686504,1825.934662,3002.729823,,,,,,
s01,ih,t,s,0.035375,366.2122742,2106.576332,3153.411198,,,,,,
s04,ih,k,g,0.076,387.5223619,2291.089578,2890.760424,,,,,,
s15,uh,g,d,0.05,414.2622268,1571.465886,2489.347194,,,,,,
s01,ow,f,#,0.0910625,502.8628101,1457.005389,1964.333129,515.0222665,1404.085167,1775.197653,515.4914792,956.2766478,2268.376998
s04,ah,k,z,0.045,545.2095492,1646.236803,2867.973544,,,,,,
s15,ah,b,t,0.074,531.4221076,1348.909116,2446.991031,526.6193239,1324.497318,2435.002723,519.7007175,1357.049972,2600.587576
s14,ah,p,p,0.0773125,675.1489853,1502.737412,2703.231805,,,,,,
