f1,f2,f3,dur,f1_raw,f2_raw,f3_raw,dur_raw,speaker,label
0.374539768,0.205436219,0.137812786,-1.208270592,0.374539768,0.205436219,0.137812786,-1.208270592,m20,eh
-0.313495994,0.405226862,0.018753006,-0.628601835,-0.313495994,0.405226862,0.018753006,-0.628601835,m20,ih
-1.515747955,1.571038199,1.826019413,0.478038521,-1.515747955,1.571038199,1.826019413,0.478038521,m20,iy
0.671481517,-0.916465086,-0.59180997,-1.471756391,0.671481517,-0.916465086,-0.59180997,-1.471756391,m20,uh
-1.102926499,-1.682695136,-1.400805912,1.031358699,-1.102926499,-1.682695136,-1.400805912,1.031358699,m20,uw
0.198303377,0.663284727,0.136197913,1.895733349,0.198303377,0.663284727,0.136197913,1.895733349,m21,ae
1.613914611,-0.655269201,-0.288554901,0.754749913,1.613914611,-0.655269201,-0.288554901,0.754749913,m21,ah
0.569385933,0.166722928,-0.537866335,-0.931921254,0.569385933,0.166722928,-0.537866335,-0.931921254,m21,eh
-0.289601466,0.663284727,-0.253928313,-0.75829334,-0.289601466,0.663284727,-0.253928313,-0.75829334,m21,ih
-1.533415221,1.566634439,2.347682674,-0.559861438,-1.533415221,1.566634439,2.347682674,-0.559861438,m21,iy
0.569385933,-0.803957197,-0.547100092,-0.907117266,0.569385933,-0.803957197,-0.547100092,-0.907117266,m21,uh
-1.127973168,-1.600700422,-0.856430946,0.506710035,-1.127973168,-1.600700422,-0.856430946,0.506710035,m21,uw
0.476294445,0.771800469,0.963489497,0.224881366,0.476294445,0.771800469,0.963489497,0.224881366,m22,ae
1.66112608,-0.688765384,-0.970647666,1.397792017,1.66112608,-0.688765384,-0.970647666,1.397792017,m22,ah
0.434963109,0.212910474,0.282031844,-1.78141317,0.434963109,0.212910474,0.282031844,-1.78141317,m22,eh
-0.515657622,0.66002247,0.833210828,-0.670234658,-0.515657622,0.66002247,0.833210828,-0.670234658,m22,ih
-1.31473012,1.509535262,1.073725294,0.286613505,-1.31473012,1.509535262,1.073725294,0.286613505,m22,iy
0.510737225,-0.976904226,-0.44953299,-0.485038239,0.510737225,-0.976904226,-0.44953299,-0.485038239,m22,uh
-1.252733116,-1.488599065,-1.732276807,1.02739918,-1.252733116,-1.488599065,-1.732276807,1.02739918,m22,uw
0.576834945,0.714761195,-0.782650443,1.144233279,0.576834945,0.714761195,-0.782650443,1.144233279,m23,ae
1.520461677,-0.61403604,0.662755056,1.280567457,1.520461677,-0.61403604,0.662755056,1.280567457,m23,ah
0.591464817,0.149796384,-0.263936373,-0.457693311,0.591464817,0.149796384,-0.263936373,-0.457693311,m23,eh
-0.732538581,0.825494297,0.179010474,-1.139364201,-0.732538581,0.825494297,0.179010474,-1.139364201,m23,ih
-1.383567876,1.451475307,1.781778667,0.837481378,-1.383567876,1.451475307,1.781778667,0.837481378,m23,iy
0.547575202,-1.032109999,0.056617266,-1.309781923,0.547575202,-1.032109999,0.056617266,-1.309781923,m23,uh
-1.120230184,-1.495381144,-1.633574647,-0.355442678,-1.120230184,-1.495381144,-1.633574647,-0.355442678,m23,uw
0.384938919,0.348161496,-0.485154547,1.242285675,0.384938919,0.348161496,-0.485154547,1.242285675,m24,ae
1.768442506,-0.796970552,-1.185250981,0.922187526,1.768442506,-0.796970552,-1.185250981,0.922187526,m24,ah
